"Enabled","Class","Name","Description","Version","WordPress","PHP","Dependencies","URI","Text Domain"
"true","Configurator\Load","Load","Configurator core.","0.0.1","6.9","8.4.11","Configurator\Unload","https://github.com/thefarside/configurator/tree/main/mu-plugins/configurator/class-load.php","—"
"true","Configurator\Unload","Unload","Filter out modules from initialization by blog id.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/mu-plugins/configurator/class-unload.php","—"
"true","Configurator\Filters\Example","Example","A master list of all possible filters provided by Configurator modules with examples.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/filters/class-example.php","—"
"true","Configurator\Gui\Router","Configurator GUI","A graphical user interface for the Configurator plugin that shows module load status and header information.","0.0.1","6.9","8.4.11","Configurator\Gui\Presenters\Page, Configurator\Gui\Models\Page, Configurator\Gui\Views\Page","https://github.com/thefarside/configurator/tree/main/examples/gui/class-router.php","—"
"true","Configurator\Gui\Models\Page","Configurator GUI","Fetches Configurator GUI data.","0.0.1","6.9","8.4.11","Configurator\Load","https://github.com/thefarside/configurator/tree/main/examples/gui/models/class-page.php","—"
"true","Configurator\Gui\Presenters\Page","Configurator GUI","Formats Configurator GUI Model data for Configurator GUI View rendering and hooks the render to a WordPress page.","0.0.1","6.9","8.4.11","Configurator\Gui\Models\Page, Configurator\Gui\Views\Page","https://github.com/thefarside/configurator/tree/main/examples/gui/presenters/class-page.php","—"
"true","Configurator\Gui\Views\Page","Configurator GUI","Renders Configurator GUI template.","0.0.1","6.9","8.4.11","Configurator\Gui\Views\Template\Page","https://github.com/thefarside/configurator/tree/main/examples/gui/views/class-page.php","—"
"true","Configurator\Helpers\Domxpath","DomXPath","Extends DomXPath to include querySelector(), which returns the null-safe first query result.","0.0.1","6.9","8.4.11","\DOMNode, \DOMXPath","https://github.com/thefarside/configurator/tree/main/examples/helpers/class-domxpath.php","—"
"true","Configurator\Helpers\Fse","FSE","Helper functions for FSE related operations.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/helpers/class-fse.php","—"
"true","Configurator\Helpers\Html_Parser","HTML Parser","Page parser built specifically to handle HTML5 in WordPress.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/helpers/class-html-parser.php","—"
"true","Configurator\Helpers\Http_Status_Codes","HTTP Status Codes","Helpers to handle HTTP codes consistently.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/helpers/class-http-status-codes.php","—"
"true","Configurator\Helpers\Return_Types","Return Types","Helpers to handle return types consistently and avoid hooking anonymous functions.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/helpers/class-return-types.php","—"
"true","Configurator\Modules\Admin_Bar_Nodes","Admin Bar Nodes","Filter admin bar entries.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-admin-bar-nodes.php","—"
"true","Configurator\Modules\Admin_Menu_Pages","Admin Menu Pages","Filter out entries in the admin menu.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-admin-menu-pages.php","—"
"true","Configurator\Modules\Admin_Notices","Admin Notices","Disables all admin notices in the admin area.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-admin-notices.php","—"
"true","Configurator\Modules\Application_Passwords","Application Passwords","Disables the use of user application passwords and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-application-passwords.php","—"
"true","Configurator\Modules\Attachment_Pages","Attachment Pages","Disables attachment pages with HTTP code 404 and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, Configurator\Helpers\HTTP_Status_Codes","https://github.com/thefarside/configurator/tree/main/examples/modules/class-attachment-pages.php","—"
"true","Configurator\Modules\Author_Archives","Author Archives","Disables author archive pages with HTTP code 404 and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, Configurator\Helpers\HTTP_Status_Codes","https://github.com/thefarside/configurator/tree/main/examples/modules/class-author-archives.php","—"
"true","Configurator\Modules\Auto_Update_Core","Auto Update Core","Disables core auto updates, removes related notifications.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-auto-update-core.php","—"
"true","Configurator\Modules\Auto_Update_Plugins","Auto Update Plugins","Disables plugin auto updates, removes related notifications.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-auto-update-plugins.php","—"
"true","Configurator\Modules\Auto_Update_Themes","Auto Update Themes","Disables theme auto updates, removes related notifications.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-auto-update-themes.php","—"
"true","Configurator\Modules\Auto_Update_Translations","Auto Update Translations","Disables language auto updates.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-auto-update-translations.php","—"
"true","Configurator\Modules\Autosave","Autosave","Disables autosave for the non-FSE editor.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-autosave.php","—"
"true","Configurator\Modules\Avatars","Avatars","Disables use of avatars and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-avatars.php","—"
"true","Configurator\Modules\Canonical_Link","Canonical Link","Removes default &lt;link rel=""canonical&gt; entries from &lt;head&gt;.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-canonical-link.php","—"
"true","Configurator\Modules\Classic_Widgets","Classic Widgets","Disables using a block editor on the Widgets admin page.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-classic-widgets.php","—"
"true","Configurator\Modules\Comments","Comments","Completely disables WordPress post type ""comments"", removes all related GUI elements and purges all existing database entries.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-comments.php","—"
"true","Configurator\Modules\Content_Meta","Content Meta","Replaces any old &lt;meta http-equiv=""Content-Type"" content=""XXX""&gt; entries with the new &lt;meta charset=""XXX""&gt; syntax.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-content-meta.php","—"
"true","Configurator\Modules\Custom_Fields","Custom Fields","Removes the ""Custom Fields"" meta box from the non-FSE editors.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-custom-fields.php","—"
"true","Configurator\Modules\Custom_Post_Type","Custom Post Type","Facilitates registering CPT's using Configurator filters.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-custom-post-type.php","—"
"true","Configurator\Modules\Customizer_Css","Customizer CSS","Removes the ""Custom CSS"" and ""Colors"" sections from the non-FSE site editor.","0.0.1","6.9","8.4.11","Configurator\Helpers\FSE, \WP_Customize_Manager","https://github.com/thefarside/configurator/tree/main/examples/modules/class-customizer-css.php","—"
"true","Configurator\Modules\Customizer","Customizer","Removes the ""Customize"" button from themes, redirects the endpoint with HTTP code 302 and removes any related GUI elements.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-customizer.php","—"
"true","Configurator\Modules\Dashboard_Widgets","Dashboard Widgets","Disable all the default dashboard widgets.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-dashboard-widgets.php","—"
"true","Configurator\Modules\Debug","Debug","Dump all actions with parameters in order starting after 'muplugins_loaded' and SQL queries to log files for the page load.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-debug.php","—"
"true","Configurator\Modules\Default_Role","Default Role","Sets the default role to ""Subscriber"" then disables the setting and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-default-role.php","—"
"true","Configurator\Modules\Disabled_Usernames","Disabled Usernames","Enables editing the username field on user profile pages.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument, \stdClass, \WP_Error","https://github.com/thefarside/configurator/tree/main/examples/modules/class-disabled-usernames.php","—"
"true","Configurator\Modules\Email_Usernames","Email Usernames","Forces usernames to be email addresses and updates the verbiage of all related notices and GUI elements site wide accordingly.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument, \WP_Error","https://github.com/thefarside/configurator/tree/main/examples/modules/class-email-usernames.php","—"
"true","Configurator\Modules\Emails_Change","Emails Change","Disables sending changed password notification receipt.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-change.php","—"
"true","Configurator\Modules\Emails_Comments","Emails Comments","Disables sending comment related admin notification emails and removes their settings GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\DOMXPath, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-comments.php","—"
"true","Configurator\Modules\Emails_Install","Emails Install","Disables sending the welcome email for a new install.","0.0.1","6.9","8.4.11","—","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-install.php","—"
"true","Configurator\Modules\Emails_New_User","Emails New User","Disables sending user registration receipt email and removes related GUI elements.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types, \DOMDocument","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-new-user.php","—"
"true","Configurator\Modules\Emails_Password_Change","Emails Password Change","Disables sending password change receipt emails.","0.0.1","6.9","8.4.11","Configurator\Helpers\Return_Types","https://github.com/thefarside/configurator/tree/main/examples/modules/class-emails-password-change.php","—"
